x,wi_th0
0.053498,0.0041223
0.067962,0.0067085
0.081214,0.0094671
0.093253,0.0123668
0.10327,0.0155329
0.112479,0.0186364
0.12108,0.0218652
0.129076,0.0251254
0.136767,0.0282759
0.150634,0.0347806
0.163491,0.0414734
0.175335,0.0479624
0.181713,0.0513009
0.187888,0.0545298
0.194367,0.0578527
0.201149,0.0611599
0.208638,0.0644201
0.216836,0.0676959
0.225033,0.0707837
0.234342,0.0739655
0.245471,0.0769592
0.258218,0.0798433
0.273087,0.0822884
0.291493,0.0841379
0.313032,0.0848119
0.334567,0.0842633
0.354786,0.0826332
0.372881,0.0805799
0.389053,0.0782132
0.404013,0.075768
0.418668,0.0730094
0.445046,0.0675705
0.47021,0.0619592
0.494262,0.0561755
0.517201,0.0503448
0.540241,0.0444201
0.562372,0.0386207
0.584704,0.0325705
0.606531,0.0265987
0.628762,0.0205956
0.651095,0.0147179
0.673933,0.0087618
0.696265,0.002884
