x,Curve1
0.14567,0.0002429
0.15857,0.0005266
0.16184,0.0006944
0.17452,0.0011249
0.18474,0.0015665
0.19866,0.0020222
0.21217,0.0024177
0.22875,0.0028804
0.24595,0.0033108
0.26417,0.0037916
0.28137,0.0041788
0.30288,0.0046484
0.32275,0.00503
0.34507,0.005487
0.36782,0.0058671
0.39425,0.0062976
0.42048,0.0066973
0.44691,0.0071054
0.4791,0.0075121
0.51066,0.0079132
0.54572,0.0082821
0.58426,0.0086497
0.6263,0.0089906
0.67059,0.0092785
0.72761,0.0095691
0.78361,0.0097451
0.85316,0.0098554
0.91349,0.0098497
0.98265,0.0097181
1.03643,0.0095405
1.09678,0.0092636
1.14235,0.0090203
1.19696,0.0086666
1.23515,0.0083799
1.28217,0.0079996
1.31872,0.0076837
1.36349,0.0072782
1.39573,0.0069315
1.43701,0.0065372
1.48959,0.0059668
1.55593,0.0051909
1.61879,0.0044094
1.68185,0.0035776
1.73999,0.0027989
1.79669,0.0020007
1.85278,0.0011814
1.86572,0.0009759
1.89695,0.0005104
1.9103,0.0003189
1.92058,0.0001469
1.93433,7.7e-05
1.94726,4.06e-05
