x,Curve1
0.16427,0.0004659
0.18653,0.0013534
0.21063,0.0022853
0.23657,0.0031284
0.26806,0.004038
0.30322,0.004859
0.34209,0.0057464
0.38833,0.0066339
0.43641,0.0074548
0.49187,0.0082979
0.55471,0.009141
0.62308,0.0098954
0.71173,0.0106054
0.81882,0.0111823
0.94617,0.0115151
1.06978,0.0114929
1.12696,0.0113819
1.22471,0.0110713
1.34087,0.0105166
1.44199,0.0098707
1.54444,0.0091332
1.63251,0.0083956
1.70618,0.0076916
1.78705,0.0069428
1.86072,0.0061717
1.93618,0.0053671
2.00804,0.0045849
2.0799,0.0037691
2.14458,0.0030092
2.20745,0.0022604
2.27391,0.0013888
2.34217,0.0005618
