x,Curve1
0.03487,0.00010808
0.06442,0.00031314
0.09152,0.0006469
0.10384,0.00090797
0.12028,0.00122683
0.12686,0.00148791
0.13632,0.00179934
0.14291,0.00208653
0.15318,0.00239609
0.16264,0.00268327
0.17497,0.0029779
0.18894,0.00327066
0.22054,0.00351489
0.26773,0.00374416
0.31696,0.00392306
0.37153,0.00411874
0.41953,0.00429019
0.47656,0.00449519
0.55041,0.00478033
0.65462,0.00515678
0.76047,0.00553322
0.86591,0.00588356
0.97299,0.0062171
1.07802,0.00651708
1.2015,0.00682634
1.31636,0.0070834
1.44353,0.0073367
1.56619,0.00755457
1.6913,0.00773887
1.81846,0.00791011
1.94316,0.00803473
1.97515,0.0080477
2.05842,0.00806986
2.10476,0.00806787
2.18352,0.00815345
