# x, TizTix=5_km3, TizTix=5_bm
0.23962, 0.001493, -0.010541
0.2464, 0.009474, -0.000196
0.24779, 0.011718, 0.002182
0.25211, 0.019407, 0.009323
0.25636, 0.025381, 0.015445
0.25924, 0.028766, 0.019206
0.26851, 0.038986, 0.030852
0.27026, 0.041116, 0.033129
0.27529, 0.047943, 0.039945
0.28418, 0.05988, 0.052134
0.28706, 0.063732, 0.05585
0.29986, 0.081649, 0.071483
0.2999, 0.081703, 0.071527
0.31346, 0.101799, 0.087503
0.31519, 0.104022, 0.089397
0.33016, 0.120972, 0.104957
0.33021, 0.121033, 0.10502
0.33764, 0.129117, 0.114086
0.34732, 0.139694, 0.12355
0.35118, 0.143905, 0.127062
0.36549, 0.15933, 0.139535
0.36649, 0.160389, 0.140383
0.38438, 0.178852, 0.155011
0.38536, 0.179834, 0.15577
0.40397, 0.19734, 0.16924
0.40885, 0.201522, 0.172478
0.42711, 0.216057, 0.183118
0.43161, 0.219455, 0.18534
0.45451, 0.235349, 0.194624
0.45472, 0.235483, 0.194699
0.47959, 0.24943, 0.201531
0.48794, 0.253321, 0.202742
0.508, 0.261304, 0.204574
0.52668, 0.266986, 0.20457
0.52859, 0.267434, 0.204344
0.55332, 0.270775, 0.200058
0.56194, 0.271531, 0.198144
0.57604, 0.270947, 0.194271
0.58995, 0.268914, 0.189129
0.61684, 0.263426, 0.176806
0.62008, 0.262597, 0.175234
0.64024, 0.254928, 0.1652
0.64913, 0.250545, 0.160536
0.66717, 0.241033, 0.150622
0.67996, 0.233655, 0.143598
0.69834, 0.222144, 0.133868
0.71433, 0.211241, 0.125684
0.72596, 0.203024, 0.119911
0.74161, 0.192101, 0.112536
0.75216, 0.18488, 0.107773
0.77387, 0.170337, 0.098469
0.78227, 0.164842, 0.095128
0.80471, 0.150739, 0.087043
0.81202, 0.146354, 0.084583
0.84088, 0.130202, 0.075215
0.84745, 0.126833, 0.073139
0.87811, 0.112369, 0.064249
0.88962, 0.107311, 0.061248
0.92933, 0.091349, 0.051492
0.93025, 0.091005, 0.051273
0.97246, 0.076336, 0.041684
0.98145, 0.073493, 0.039743
1.0207, 0.062003, 0.031636
1.04493, 0.055407, 0.026865
1.08775, 0.044525, 0.018718
1.10735, 0.039904, 0.015179
1.13671, 0.033246, 0.010163
1.18886, 0.021965, 0.001378
1.18929, 0.021876, 0.001306
1.25278, 0.009474, -0.009385
1.30068, 0.001091, -0.004814
