# x, TixTiz=0.6_PBKi6, TixTiz=0.4_PBKi5, TixTiz=0.2_PBKi5
0.01076, -0.080502, -0.146489, 0.003431
0.021, -0.066751, -0.112142, 0.006893
0.0315, -0.054497, -0.083254, 0.010175
0.04097, -0.044907, -0.062101, 0.013398
0.04968, -0.037222, -0.046321, 0.016531
0.05864, -0.03034, -0.033308, 0.019813
0.0671, -0.024722, -0.023655, 0.023036
0.07427, -0.020555, -0.01718, 0.026348
0.08349, -0.015922, -0.010796, 0.029749
0.10398, -0.003712, -0.000237, 0.039447
0.1177, -0.001009, 0.001345, 0.046715
0.12243, -0.000431, 0.001866, 0.049264
0.1296, 0.000351, 0.002699, 0.052874
0.13792, 0.001179, 0.003851, 0.057364
0.14139, 0.001512, 0.004464, 0.05923
0.14559, 0.001912, 0.005363, 0.061444
0.15123, 0.002449, 0.006835, 0.064394
0.1542, 0.002735, 0.007681, 0.065973
0.16224, 0.003542, 0.010177, 0.070373
0.16675, 0.004028, 0.011759, 0.072746
0.16939, 0.004329, 0.012747, 0.074068
0.17146, 0.004577, 0.013549, 0.075077
0.1794, 0.005628, 0.016712, 0.078796
0.18007, 0.005724, 0.016977, 0.079102
0.18683, 0.006733, 0.019726, 0.082117
0.1875, 0.006836, 0.020024, 0.082414
0.18808, 0.006925, 0.020284, 0.082669
0.19452, 0.007939, 0.023217, 0.085498
0.1957, 0.008129, 0.023713, 0.085995
0.20246, 0.009242, 0.026409, 0.088558
0.20364, 0.009442, 0.026908, 0.089008
0.20497, 0.009671, 0.027485, 0.08952
0.2104, 0.010623, 0.029901, 0.091617
0.21808, 0.011984, 0.032974, 0.09453
0.2208, 0.012454, 0.033914, 0.095513
0.2211, 0.012506, 0.034016, 0.095619
0.22781, 0.013625, 0.036286, 0.097788
0.23104, 0.014153, 0.037451, 0.098766
0.23601, 0.014964, 0.03924, 0.10045
0.23902, 0.01546, 0.040247, 0.101325
0.24103, 0.015795, 0.04089, 0.101869
0.24727, 0.016845, 0.042731, 0.103453
0.25565, 0.018205, 0.044822, 0.105468
0.25854, 0.018643, 0.045536, 0.106143
0.26637, 0.019751, 0.047595, 0.107926
0.2716, 0.020431, 0.048908, 0.109045
0.27408, 0.020742, 0.04948, 0.109539
0.28173, 0.021648, 0.051026, 0.110851
0.28593, 0.022118, 0.051773, 0.111511
0.29584, 0.023159, 0.053369, 0.112992
0.30042, 0.023605, 0.054048, 0.113626
0.30308, 0.023849, 0.054428, 0.113974
0.31913, 0.025009, 0.056454, 0.115738
0.32115, 0.025114, 0.056674, 0.115924
0.32279, 0.025193, 0.056846, 0.116069
0.34572, 0.025898, 0.058674, 0.117625
0.34778, 0.025934, 0.058781, 0.117723
0.34787, 0.025936, 0.058785, 0.117726
0.37412, 0.026033, 0.059455, 0.118461
0.37653, 0.026001, 0.059472, 0.118487
0.37695, 0.025995, 0.059475, 0.118491
0.40303, 0.025101, 0.059277, 0.118342
0.40305, 0.0251, 0.059277, 0.118341
0.40493, 0.025007, 0.059234, 0.1183
0.42914, 0.023579, 0.058369, 0.117415
0.43092, 0.023456, 0.058287, 0.117328
0.43358, 0.023267, 0.05816, 0.117192
0.45421, 0.02161, 0.057035, 0.115982
0.45829, 0.021237, 0.056787, 0.115717
0.46019, 0.021059, 0.056669, 0.115591
0.4757, 0.019551, 0.055621, 0.114469
0.48157, 0.018991, 0.055159, 0.113987
0.48449, 0.018713, 0.054909, 0.113734
0.49872, 0.017284, 0.053513, 0.112432
0.5051, 0.016552, 0.052867, 0.111839
0.50649, 0.016384, 0.052731, 0.111712
0.51867, 0.014868, 0.051606, 0.11058
0.52926, 0.013603, 0.050613, 0.109521
0.52992, 0.013525, 0.050547, 0.109452
0.54042, 0.012272, 0.049422, 0.108327
0.551, 0.010938, 0.048197, 0.10715
0.55985, 0.009796, 0.047154, 0.10614
0.56957, 0.008559, 0.046005, 0.105007
0.57146, 0.008315, 0.04578, 0.104783
0.57929, 0.00726, 0.044844, 0.103847
0.59243, 0.005302, 0.043274, 0.102242
0.59643, 0.004724, 0.042799, 0.101748
0.60972, 0.002999, 0.041209, 0.100085
0.61587, 0.002248, 0.040465, 0.099309
0.63259, 0.000145, 0.038411, 0.09717
0.64911, -0.002587, 0.036346, 0.095013
0.69117, -0.023348, 0.031013, 0.08943
0.70641, -0.032024, 0.029064, 0.087405
0.73005, -0.049412, 0.02606, 0.08428
0.76396, -0.084875, 0.021812, 0.079798
0.79041, -0.123194, 0.018572, 0.076257
0.80232, -0.144005, 0.01716, 0.074666
0.8321, -0.206977, 0.013769, 0.070754
0.86064, -0.283782, 0.010465, 0.067119
0.87354, -0.32437, 0.008996, 0.06552
0.91677, -0.490158, 0.004342, 0.060291
0.92152, -0.511371, 0.003856, 0.05972
0.94082, -0.604207, 0.001985, 0.057395
0.96219, -0.719992, -9.8e-05, 0.054917
1.02665, -1.160658, -0.007022, 0.047817
1.06911, -1.534885, -0.01172, 0.043371
1.11413, -2.013626, -0.016742, 0.038986
1.18345, -2.934741, -0.024519, 0.032871
1.23155, -3.718802, -0.029934, 0.028903
1.30548, -5.182215, -0.038279, 0.023474
1.35664, -6.395031, -0.044064, 0.020193
1.40832, -7.800444, -0.049914, 0.01706
1.46051, -9.416694, -0.055828, 0.014197
1.54135, -12.34136, -0.064998, 0.010469
1.59738, -14.690648, -0.071358, 0.008262
1.68104, -18.729123, -0.080862, 0.005339
1.73732, -21.8274, -0.08726, 0.003699
1.7693, -23.731829, -0.090896, 0.002864
