# x, TezTiz=5_km3, TezTiz=5_bm
0.12725, 1.020544, 1.048776
0.14898, 1.026802, 1.05805
0.18131, 1.036166, 1.073044
0.20341, 1.043058, 1.085838
0.22336, 1.051464, 1.09962
0.23194, 1.055799, 1.105838
0.27706, 1.078969, 1.14076
0.28262, 1.082131, 1.145427
0.32402, 1.109794, 1.183237
0.33219, 1.116111, 1.191181
0.35933, 1.138847, 1.218675
0.37425, 1.152155, 1.234453
0.39915, 1.174886, 1.260911
0.41407, 1.188928, 1.276575
0.44724, 1.22146, 1.310913
0.45163, 1.225822, 1.315409
0.48593, 1.259722, 1.349507
0.4892, 1.262959, 1.35263
0.52349, 1.297294, 1.383974
0.52601, 1.299854, 1.38617
0.56208, 1.336021, 1.414686
0.56293, 1.336836, 1.415284
0.60227, 1.373036, 1.440037
0.61211, 1.38183, 1.445258
0.64696, 1.407259, 1.45863
0.65828, 1.413603, 1.461273
0.70778, 1.437595, 1.467917
0.71269, 1.439855, 1.468183
0.73818, 1.445845, 1.467695
0.75133, 1.447002, 1.466356
0.79635, 1.44959, 1.45943
0.80609, 1.449596, 1.457365
0.82972, 1.446558, 1.451911
0.8511, 1.44352, 1.446606
0.87361, 1.437679, 1.440724
0.95875, 1.414422, 1.415706
1.02176, 1.396517, 1.39526
1.05851, 1.385477, 1.38328
1.10239, 1.371135, 1.3694
1.14627, 1.357641, 1.356076
1.18753, 1.345145, 1.343859
1.24041, 1.32932, 1.328385
1.27416, 1.320247, 1.318673
1.34842, 1.301233, 1.2996
1.46582, 1.272391, 1.273355
1.52134, 1.259873, 1.2617
1.56672, 1.250889, 1.252662
1.63162, 1.238002, 1.241047
1.6725, 1.230116, 1.23431
1.72877, 1.220102, 1.225373
1.78128, 1.211648, 1.217419
1.84318, 1.202642, 1.209089
1.88556, 1.196943, 1.204049
1.98986, 1.183942, 1.192678
1.99923, 1.182845, 1.191686
2.11552, 1.170202, 1.180082
2.11741, 1.170011, 1.179912
2.23031, 1.15938, 1.170628
2.26859, 1.15608, 1.167749
2.34811, 1.149408, 1.162075
2.43329, 1.142506, 1.156434
2.45615, 1.140893, 1.154996
2.58146, 1.133347, 1.147749
2.60849, 1.131685, 1.146331
2.69588, 1.126167, 1.14203
2.78894, 1.120948, 1.137683
2.81556, 1.119593, 1.136437
2.90187, 1.115502, 1.132446
2.93786, 1.113868, 1.130965
2.9829, 1.11182, 1.129276
