# x, TizTix=2_km3, TizTix=2_bm
0.10077, 1.017433, 1.043333
0.14546, 1.023474, 1.053293
0.17279, 1.026908, 1.059518
0.2157, 1.034035, 1.070245
0.23523, 1.03791, 1.075933
0.31365, 1.055224, 1.102219
0.31433, 1.055385, 1.102467
0.35655, 1.066577, 1.118755
0.37645, 1.072334, 1.127014
0.4119, 1.083164, 1.142129
0.44032, 1.092407, 1.154563
0.49283, 1.110442, 1.178209
0.50663, 1.11542, 1.184315
0.54074, 1.128312, 1.199216
0.58576, 1.146183, 1.218589
0.59431, 1.14957, 1.222059
0.65743, 1.173503, 1.245766
0.66244, 1.175317, 1.247542
0.72169, 1.19554, 1.266367
0.73903, 1.200937, 1.270856
0.7891, 1.21524, 1.281519
0.81851, 1.222977, 1.286269
0.86037, 1.231816, 1.291298
0.86253, 1.232181, 1.291506
0.92352, 1.241802, 1.295464
0.93242, 1.242993, 1.295753
0.97035, 1.246394, 1.295906
1.00124, 1.24831, 1.29472
1.03385, 1.249837, 1.292801
1.08706, 1.249723, 1.288921
1.10978, 1.249167, 1.287029
1.15375, 1.247542, 1.282931
1.20802, 1.243868, 1.277076
1.2201, 1.24318, 1.275665
1.26903, 1.239162, 1.269657
1.34176, 1.231853, 1.260398
1.43823, 1.221599, 1.248346
1.49216, 1.215551, 1.241802
1.55067, 1.208973, 1.234942
1.62802, 1.201018, 1.226306
1.66525, 1.197264, 1.222297
1.77911, 1.186359, 1.210929
1.79154, 1.185272, 1.209776
2.00258, 1.167534, 1.192177
2.01288, 1.166693, 1.19141
2.1207, 1.15858, 1.183979
2.21933, 1.152288, 1.17798
2.24131, 1.15089, 1.17671
2.35624, 1.143658, 1.17037
2.41337, 1.140649, 1.167419
2.47933, 1.137459, 1.164208
2.5925, 1.131972, 1.159154
2.70281, 1.126784, 1.154579
2.79292, 1.123118, 1.151119
2.82767, 1.121848, 1.149886
2.94014, 1.117237, 1.146183
2.95856, 1.116453, 1.145542
2.99157, 1.115051, 1.144117
