# x, TixTiz=7_PBKi20, TixTiz=5_PBKi20, TixTiz=3_PBKi20
0.12708, 0.018236, -0.06829, -0.056104
0.13575, 0.071826, -0.033039, -0.047182
0.14623, 0.125415, 0.009137, -0.034529
0.14833, 0.134072, 0.017387, -0.031708
0.15515, 0.158958, 0.044535, -0.021793
0.16713, 0.195407, 0.092209, -0.001655
0.16925, 0.201286, 0.100245, 0.002197
0.17454, 0.215556, 0.118586, 0.012013
0.18151, 0.233699, 0.138564, 0.02489
0.19811, 0.274849, 0.180296, 0.052028
0.20162, 0.283214, 0.187975, 0.05693
0.2042, 0.289245, 0.193284, 0.060386
0.22249, 0.327046, 0.22517, 0.083606
0.22801, 0.337221, 0.234264, 0.09077
0.22959, 0.340087, 0.236975, 0.092881
0.2518, 0.378103, 0.275152, 0.123434
0.25241, 0.37908, 0.276003, 0.124213
0.2561, 0.384932, 0.28099, 0.128805
0.29166, 0.437133, 0.322943, 0.163689
0.29364, 0.43988, 0.325163, 0.165298
0.29504, 0.441803, 0.326723, 0.166415
0.3211, 0.475899, 0.355181, 0.185411
0.33351, 0.490923, 0.367077, 0.193385
0.34373, 0.502873, 0.375966, 0.199433
0.34845, 0.508286, 0.380021, 0.202046
0.3788, 0.542108, 0.405533, 0.216364
0.39353, 0.557408, 0.417252, 0.222311
0.39912, 0.562708, 0.421505, 0.224526
0.42408, 0.584384, 0.438991, 0.234233
0.43743, 0.595461, 0.447369, 0.238864
0.45385, 0.608892, 0.45696, 0.243755
0.47092, 0.622685, 0.466739, 0.24796
0.50531, 0.649967, 0.487523, 0.254772
0.51778, 0.659605, 0.494488, 0.256856
0.52441, 0.664628, 0.497475, 0.257892
0.53382, 0.671584, 0.501238, 0.259267
0.5653, 0.692125, 0.512925, 0.262445
0.58771, 0.705097, 0.521366, 0.263121
0.59082, 0.706858, 0.522587, 0.263132
0.60648, 0.715595, 0.52897, 0.262961
0.63832, 0.732391, 0.539129, 0.26171
0.67407, 0.749135, 0.547144, 0.259018
0.6825, 0.75278, 0.548852, 0.25816
0.72741, 0.770807, 0.557083, 0.251915
0.75227, 0.780057, 0.560656, 0.247138
0.77716, 0.788846, 0.563162, 0.241332
0.79107, 0.793499, 0.564712, 0.23768
0.81107, 0.799685, 0.566554, 0.23205
0.81464, 0.800706, 0.566766, 0.231016
0.85439, 0.810465, 0.567713, 0.218806
0.86262, 0.812384, 0.567684, 0.216045
0.87519, 0.815269, 0.567508, 0.211642
0.91732, 0.823113, 0.565702, 0.195468
0.92811, 0.824602, 0.564903, 0.191014
0.9511, 0.827196, 0.562655, 0.181098
0.96705, 0.828656, 0.56061, 0.173866
1.01677, 0.831913, 0.5517, 0.149256
1.02113, 0.832112, 0.550797, 0.146877
1.04025, 0.832799, 0.546729, 0.13561
1.06134, 0.833138, 0.542047, 0.122838
1.07643, 0.83305, 0.538548, 0.114541
1.12232, 0.830953, 0.525953, 0.08791
1.12615, 0.830675, 0.524722, 0.085422
1.12886, 0.830473, 0.523841, 0.083639
1.19007, 0.824322, 0.50236, 0.039549
1.1989, 0.823118, 0.499094, 0.033073
1.20798, 0.821764, 0.495686, 0.026562
1.2253, 0.818818, 0.488984, 0.014662
1.25312, 0.813197, 0.477458, -0.004787
1.27894, 0.807339, 0.465965, -0.024021
1.31276, 0.799249, 0.449741, -0.049919
1.34538, 0.790369, 0.43282, -0.07524
1.38369, 0.777998, 0.41142, -0.105221
1.42129, 0.76449, 0.38888, -0.134803
1.45551, 0.751529, 0.367584, -0.161809
1.50805, 0.729845, 0.333792, -0.203398
1.52462, 0.722205, 0.322476, -0.216535
1.57627, 0.695765, 0.284896, -0.257551
1.60636, 0.679762, 0.261671, -0.281478
1.64539, 0.658009, 0.230202, -0.312541
1.68765, 0.63279, 0.194787, -0.346205
1.73528, 0.602295, 0.15363, -0.384189
1.75944, 0.585698, 0.132287, -0.403465
1.80303, 0.554217, 0.092872, -0.438262
1.82762, 0.537102, 0.069645, -0.457901
1.83735, 0.53032, 0.060095, -0.465679
1.87457, 0.503281, 0.021992, -0.495415
1.89082, 0.490924, 0.006296, -0.508406
1.90329, 0.481111, -0.005532, -0.518376
1.96154, 0.431337, -0.067521, -0.564959
2.02024, 0.381845, -0.13138, -0.611928
2.08932, 0.317648, -0.206961, -0.667228
2.14034, 0.267026, -0.262928, -0.708083
2.19045, 0.216686, -0.31798, -0.748226
2.25545, 0.148671, -0.389475, -0.800318
2.31007, 0.089141, -0.449599, -0.844099
2.34889, 0.047144, -0.492356, -0.875223
2.37958, 0.0125, -0.526173, -0.899835
