# x, TixTiz=7_PBKi5, TixTiz=5_PBKi5, TixTiz=3_PBKi5
0.08366, 0.009804, -0.086835, -0.158974
0.10357, 0.032993, -0.003832, -0.099352
0.11084, 0.06806, 0.010459, -0.078397
0.1117, 0.078266, 0.011877, -0.075947
0.11585, 0.116135, 0.019029, -0.064287
0.12665, 0.172021, 0.048641, -0.035195
0.12719, 0.174391, 0.050697, -0.033784
0.13626, 0.209835, 0.089283, -0.011574
0.14534, 0.24509, 0.129317, 0.007589
0.14706, 0.250863, 0.136496, 0.01082
0.15331, 0.270189, 0.160411, 0.021681
0.16074, 0.292412, 0.184963, 0.034764
0.16973, 0.319249, 0.210024, 0.053514
0.17097, 0.322873, 0.213181, 0.056371
0.18521, 0.361603, 0.24662, 0.090765
0.19509, 0.384927, 0.269034, 0.113599
0.20086, 0.397627, 0.282814, 0.125939
0.21593, 0.429143, 0.319372, 0.154148
0.21692, 0.43117, 0.321621, 0.155821
0.23812, 0.47363, 0.362357, 0.187836
0.24342, 0.483733, 0.370363, 0.194941
0.25224, 0.499984, 0.382532, 0.206206
0.26392, 0.520516, 0.398178, 0.220301
0.2939, 0.570118, 0.439996, 0.25354
0.29923, 0.578578, 0.447196, 0.259106
0.30044, 0.580483, 0.448818, 0.260361
0.33147, 0.62498, 0.487909, 0.290331
0.35083, 0.650494, 0.509976, 0.306593
0.3561, 0.657338, 0.515657, 0.310699
0.39302, 0.704163, 0.552465, 0.336395
0.40603, 0.720032, 0.56465, 0.344451
0.42351, 0.740428, 0.580645, 0.354627
0.441, 0.75978, 0.595791, 0.364109
0.45128, 0.770854, 0.604242, 0.369314
0.5048, 0.824446, 0.645306, 0.39181
0.509, 0.828362, 0.648367, 0.393276
0.51055, 0.829798, 0.649489, 0.393808
0.55715, 0.871356, 0.680597, 0.407975
0.58625, 0.895899, 0.697609, 0.415475
0.60691, 0.912132, 0.708877, 0.420244
0.61664, 0.919221, 0.713974, 0.42231
0.62878, 0.92795, 0.72015, 0.424683
0.663, 0.953183, 0.736402, 0.429717
0.68488, 0.968295, 0.745735, 0.431588
0.6899, 0.971598, 0.747784, 0.431925
0.71411, 0.986765, 0.757518, 0.433276
0.76586, 1.015994, 0.777131, 0.433963
0.76703, 1.016615, 0.777502, 0.433934
0.7713, 1.018848, 0.778809, 0.43381
0.82673, 1.046361, 0.792773, 0.430033
0.83959, 1.052569, 0.795756, 0.428805
0.85766, 1.061532, 0.799751, 0.427023
0.87487, 1.069537, 0.803114, 0.425318
0.8896, 1.075775, 0.805593, 0.423677
0.93543, 1.093391, 0.811597, 0.415711
0.93729, 1.094046, 0.811803, 0.41528
0.97461, 1.105875, 0.815397, 0.405382
1.00604, 1.114407, 0.817416, 0.395654
1.0394, 1.122707, 0.818073, 0.384226
1.04516, 1.124056, 0.818036, 0.382144
1.08066, 1.131563, 0.817132, 0.368636
1.1166, 1.137128, 0.815208, 0.354075
1.12981, 1.138855, 0.814174, 0.348594
1.13855, 1.140047, 0.81334, 0.344965
1.16995, 1.144695, 0.809175, 0.330977
1.19055, 1.146834, 0.805741, 0.320648
1.19084, 1.146856, 0.805692, 0.320503
1.23325, 1.148891, 0.798052, 0.298122
1.27285, 1.149474, 0.790117, 0.276647
1.2948, 1.149425, 0.784668, 0.264509
1.32593, 1.148675, 0.775617, 0.246375
1.35922, 1.146457, 0.764669, 0.224049
1.3644, 1.145928, 0.762889, 0.220393
1.43563, 1.134957, 0.737139, 0.169064
1.45838, 1.131192, 0.728484, 0.152372
1.47015, 1.129226, 0.723891, 0.143661
1.5143, 1.120817, 0.703669, 0.109478
1.5185, 1.119892, 0.701524, 0.105974
1.5298, 1.117292, 0.695775, 0.096339
1.58403, 1.102751, 0.667927, 0.04883
1.60301, 1.096878, 0.657917, 0.033181
1.60652, 1.095742, 0.656039, 0.030563
1.61794, 1.091944, 0.649866, 0.021039
1.69467, 1.062938, 0.604299, -0.047275
1.70698, 1.057917, 0.596324, -0.05836
1.77242, 1.030322, 0.552436, -0.117462
1.78969, 1.022587, 0.540518, -0.133088
1.82757, 1.003174, 0.512423, -0.167399
1.83308, 1.000192, 0.508091, -0.172388
1.91578, 0.953737, 0.442671, -0.247407
1.92882, 0.946049, 0.432208, -0.259245
1.99486, 0.904254, 0.377251, -0.319228
2.00565, 0.897031, 0.367752, -0.329034
2.06128, 0.858892, 0.316732, -0.379597
2.0644, 0.856685, 0.313829, -0.382434
2.12545, 0.812425, 0.256214, -0.43794
2.14846, 0.795224, 0.233595, -0.458873
2.19729, 0.757404, 0.184195, -0.503291
2.2402, 0.722262, 0.139526, -0.542334
2.26868, 0.698017, 0.108971, -0.56825
2.3247, 0.648726, 0.046944, -0.619241
2.34594, 0.629557, 0.026394, -0.638573
2.3491, 0.626677, 0.023813, -0.641455
2.45258, 0.529584, -0.092911, -0.735667
2.54069, 0.442482, -0.198115, -0.815909
2.61253, 0.365939, -0.284578, -0.881345
2.67849, 0.293354, -0.364258, -0.941437
2.76705, 0.193056, -0.471503, -1.022117
2.84068, 0.104258, -0.560859, -1.089218
2.89716, 0.037141, -0.629463, -1.140681
2.90664, 0.026583, -0.640995, -1.149328
