x,wi_upperRX,wi_lowerRX,wi_LX,wi_OP
0.014159,-1.76e-05,-3.14e-05,0.0117886,3.7e-06
0.022873,-8.2e-05,-6.59e-05,0.0046101,-3.98e-05
0.025173,-0.0001073,-7.6e-05,0.0008575,-5.18e-05
0.03086,-0.000188,-0.0001043,0.0002047,-8.01e-05
0.036548,-0.0002885,-0.0001431,-1.02e-05,-9.79e-05
0.037398,-0.0003049,-0.0001512,-2.92e-05,-9.89e-05
0.040422,-0.0003664,-0.0001968,-8.16e-05,-0.0001009
0.042781,-0.0004174,-0.0002351,-0.0001114,-0.0001022
0.042964,-0.0004214,-0.0002372,-0.0001135,-0.0001024
0.045746,-0.0004846,-0.0002707,-0.0001426,-0.0001052
0.047866,-0.0005343,-0.0003136,-0.0001645,-0.0001064
0.04805,-0.0005386,-0.0003186,-0.0001665,-0.0001065
0.048589,-0.0005514,-0.0003348,-0.0001725,-0.0001066
0.051192,-0.0006136,-0.0004328,-0.0002055,-0.0001062
0.052406,-0.0006428,-0.00048,-0.0002241,-0.0001058
0.056518,-0.0007426,-0.0006302,-0.0002953,-0.0001033
0.056765,-0.0007486,-0.0006419,-0.0002995,-0.0001031
0.057371,-0.0007634,-0.0006715,-0.0003097,-0.0001025
0.058089,-0.0007808,-0.0007079,-0.0003216,-0.0001018
0.061965,-0.0008747,-0.0009151,-0.0003852,-9.68e-05
0.063837,-0.0009195,-0.0010179,-0.0004184,-9.71e-05
0.065181,-0.0009512,-0.0010917,-0.0004446,-9.84e-05
0.065603,-0.0009611,-0.0011146,-0.0004534,-9.89e-05
0.066989,-0.0009934,-0.0011891,-0.000484,-0.0001006
0.069237,-0.0010431,-0.0013166,-0.0005414,-0.0001026
0.072127,-0.0010989,-0.0015216,-0.0006365,-0.0001013
0.072255,-0.0011011,-0.0015311,-0.0006414,-0.000101
0.07281,-0.0011104,-0.001573,-0.0006636,-9.93e-05
0.07577,-0.0011498,-0.0017972,-0.0007994,-9.37e-05
0.076444,-0.0011562,-0.0018474,-0.0008334,-9.79e-05
0.077331,-0.0011632,-0.0019125,-0.0008793,-0.0001057
0.07734,-0.0011633,-0.0019132,-0.0008798,-0.0001058
0.079957,-0.0011762,-0.0021083,-0.0010244,-0.0001357
0.081094,-0.0011792,-0.0022003,-0.0010957,-0.0001501
0.083228,-0.0011821,-0.0023872,-0.0012499,-0.0001782
0.084728,-0.0011835,-0.0025269,-0.0013791,-0.0001984
0.086178,-0.0011855,-0.0026663,-0.0015229,-0.0002179
0.086499,-0.0011862,-0.0026977,-0.0015569,-0.0002222
0.087195,-0.001188,-0.0027665,-0.001633,-0.0002314
0.088121,-0.0011907,-0.002858,-0.001739,-0.000243
0.089407,-0.0011946,-0.0029811,-0.0018992,-0.0002547
0.090606,-0.0011974,-0.0030905,-0.0020675,-0.0002521
0.091128,-0.001198,-0.0031383,-0.0021437,-0.0002493
0.092617,-0.0011976,-0.0032825,-0.0023653,-0.0002426
0.094304,-0.001192,-0.0034696,-0.0026254,-0.0002351
0.095375,-0.0011853,-0.0035904,-0.0028009,-0.0002297
0.095526,-0.0011841,-0.0036065,-0.0028268,-0.0002289
0.097275,-0.001168,-0.0037799,-0.0031654,-0.0002177
0.097844,-0.0011617,-0.0038371,-0.0032904,-0.0002131
0.098434,-0.0011549,-0.0038989,-0.0034252,-0.0002075
0.100066,-0.001134,-0.0040819,-0.0038224,-0.000187
0.101402,-0.0011154,-0.0042378,-0.0041959,-0.0001664
0.10219,-0.0011038,-0.0043309,-0.0044082,-0.0001545
0.102866,-0.0010937,-0.0044104,-0.004587,-0.0001454
0.10377,-0.0010797,-0.0045188,-0.0048259,-0.0001352
0.103887,-0.0010779,-0.0045333,-0.0048572,-0.000134
0.104923,-0.0010615,-0.0046624,-0.0051364,-0.0001247
0.106198,-0.0010409,-0.0048179,-0.0054964,-0.0001156
0.106493,-0.0010361,-0.0048528,-0.0055967,-0.0001138
0.106749,-0.0010319,-0.0048826,-0.0056879,-0.0001123
0.10796,-0.0010121,-0.0050197,-0.0061309,-0.000106
0.109219,-0.0009913,-0.0051632,-0.0065634,-0.0001007
0.10934,-0.0009893,-0.0051774,-0.0066051,-0.0001002
0.109601,-0.0009849,-0.0052086,-0.0066979,-9.93e-05
0.11106,-0.0009602,-0.0053897,-0.0072604,-9.44e-05
0.111886,-0.0009459,-0.0054962,-0.0075722,-9.19e-05
0.112641,-0.0009327,-0.0055965,-0.0078724,-8.97e-05
0.11404,-0.0009074,-0.0057942,-0.0085204,-8.56e-05
0.11425,-0.0009036,-0.0058247,-0.008618,-8.49e-05
0.115196,-0.0008859,-0.005963,-0.0090559,-8.18e-05
0.115581,-0.0008786,-0.0060193,-0.0092468,-8.04e-05
0.116292,-0.000865,-0.0061229,-0.0096095,-7.76e-05
0.116901,-0.0008532,-0.0062112,-0.0098975,-7.49e-05
0.117266,-0.0008461,-0.0062639,-0.0100654,-7.3e-05
0.118796,-0.0008161,-0.0064816,-0.010867,-6.26e-05
0.12253,-0.0007431,-0.0069953,-0.0129413,-4.13e-05
0.123644,-0.0007218,-0.007152,-0.0135684,-4.07e-05
0.125865,-0.0006803,-0.0074811,-0.0148223,-4.28e-05
0.12807,-0.0006408,-0.0078269,-0.0160708,-4.59e-05
0.132193,-0.0005717,-0.0085109,-0.0184128,-4.99e-05
0.132514,-0.0005666,-0.0085662,-0.0185955,-5e-05
0.136255,-0.0005103,-0.0092083,-0.020726,-4.93e-05
0.136997,-0.0004999,-0.0093293,-0.0211488,-4.88e-05
0.140499,-0.0004567,-0.0098743,-0.0231461,-4.53e-05
0.146314,-0.0004097,-0.0108085,-0.026467,-3.67e-05
0.146672,-0.0004076,-0.0108726,-0.0266718,-3.61e-05
0.1566,-0.0003823,-0.0189496,-0.032349,-2.25e-05
0.158955,-0.0003927,-0.0217504,-0.033697,-2.22e-05
0.162531,-0.0004452,-0.0271778,-0.0357436,-2.45e-05
0.16701,-0.0006071,-0.0363487,-0.0383088,-2.93e-05
0.170887,-0.000976,-0.0467933,-0.0405297,-3.35e-05
0.173296,-0.001347,-0.0546148,-0.0419099,-3.53e-05
0.174282,-0.0015429,-0.0581359,-0.0424751,-3.58e-05
0.17659,-0.0021819,-0.0671362,-0.0437972,-3.63e-05
0.178656,-0.0029559,-0.0761561,-0.0449816,-3.63e-05
0.181092,-0.004216,-0.088021,-0.0463777,-3.58e-05
0.182312,-0.005062,-0.0944937,-0.0470773,-3.55e-05
0.18329,-0.0058721,-0.0999442,-0.0476379,-3.53e-05
0.184389,-0.0067091,-0.1063588,-0.0482681,-3.51e-05
0.184881,-0.0073572,-0.1093298,-0.0485502,-3.5e-05
0.185734,-0.0078522,-0.1146325,-0.0490393,-3.49e-05
0.186346,-0.0083742,-0.1185518,-0.0493899,-3.48e-05
0.1872,-0.0089233,-0.1241937,-0.0498794,-3.49e-05
0.187516,-0.0090696,-0.1263325,-0.0500606,-3.49e-05
0.187929,-0.0091933,-0.129172,-0.0502976,-3.49e-05
0.188716,-0.0092428,-0.1347118,-0.050749,-3.51e-05
0.18944,-0.0090492,-0.1399601,-0.051164,-3.52e-05
0.189981,-0.0087972,-0.1439854,-0.0514746,-3.54e-05
0.190581,-0.0083156,-0.1485395,-0.0518182,-3.56e-05
0.19118,-0.0078791,-0.1532036,-0.0521622,-3.58e-05
0.19166,-0.007465,-0.1570058,-0.0524369,-3.6e-05
0.192381,-0.0070464,-0.1628589,-0.0528504,-3.63e-05
0.192859,-0.0066009,-0.1668322,-0.0531249,-3.65e-05
0.19376,-0.0060113,-0.1744985,-0.0536414,-3.69e-05
0.194238,-0.0055342,-0.1786735,-0.0539157,-3.71e-05
0.195018,-0.0050031,-0.1856392,-0.0543632,-3.74e-05
0.19574,-0.0046206,-0.1922543,-0.054777,-3.77e-05
0.1964,-0.0041975,-0.1984585,-0.0551558,-3.79e-05
0.197241,-0.003689,-0.2065659,-0.0556382,-3.82e-05
0.198264,-0.0032074,-0.216745,-0.0562249,-3.85e-05
0.199348,-0.0027573,-0.227918,-0.0568465,-3.88e-05
