x,Curve1
0.04506,0.00016795
0.09836,0.00076129
0.12503,0.00135086
0.14151,0.00193297
0.1572,0.00253
0.17289,0.0031121
0.18858,0.00355615
0.21367,0.00382856
0.25364,0.00406367
0.29831,0.00426147
0.35316,0.00445555
0.39705,0.00460858
0.4762,0.0048997
0.58042,0.00527293
0.67524,0.00562003
0.7779,0.00598207
0.88134,0.00631425
0.98714,0.00663525
1.09763,0.00693386
1.21204,0.00721382
1.32566,0.00746019
1.44398,0.00768418
1.56231,0.00788952
1.68376,0.0080762
1.80522,0.00822556
1.92511,0.00835627
2.06302,0.00849819
