x,Tx_Tz_0dot5,Tx_Tz_1,Tx_Tz_2,Tx_Tz_3
0.005122,4.96e-05,-6.93889e-18,4.81e-05,-0.0001019
0.006533,4.56e-05,3.1e-06,4.48e-05,-8.97e-05
0.006534,4.56e-05,3.1e-06,4.48e-05,-8.97e-05
0.006817,4.48e-05,3.7e-06,4.42e-05,-8.72e-05
0.035049,-7.62e-05,6.2e-06,-6.93889e-18,-4.01e-05
0.03646,-8.97e-05,-1e-07,-8e-07,-4.34e-05
0.037025,-9.58e-05,-3e-06,-1.1e-06,-4.48e-05
0.042954,-0.0001989,-4.48e-05,-4.8e-06,-6.14e-05
0.049162,-0.0004036,-0.0001166,-1.29e-05,-8.16e-05
0.065532,-0.0009417,-0.0004181,-7.6e-05,-0.0001449
0.07344,-0.0013066,-0.000583,-0.0001363,-0.00018
0.081619,-0.0017489,-0.0007436,-0.0002241,-0.0002195
0.081631,-0.0017496,-0.0007438,-0.0002242,-0.0002195
0.097139,-0.0027354,-0.0011354,-0.000466,-0.0003046
0.106183,-0.003622,-0.0014798,-0.0006447,-0.0003626
0.110961,-0.0041256,-0.0017052,-0.0007483,-0.0003969
0.111838,-0.0042129,-0.0017494,-0.000768,-0.0004036
0.124219,-0.0056054,-0.0024486,-0.0010637,-0.0005145
0.136675,-0.0074841,-0.0032588,-0.0013901,-0.0006766
0.139482,-0.0079465,-0.0034529,-0.0014669,-0.0007238
0.147339,-0.0093274,-0.0040319,-0.0016902,-0.0008787
0.152206,-0.0102702,-0.0044526,-0.0018369,-0.0009865
0.155,-0.0108485,-0.0047085,-0.0019249,-0.0010499
0.166504,-0.0134978,-0.0058213,-0.0023262,-0.0013169
0.182361,-0.0176122,-0.0076682,-0.0030333,-0.0017057
0.183971,-0.0180717,-0.0078807,-0.0031193,-0.0017469
0.187478,-0.0191132,-0.0083599,-0.0033184,-0.0018383
0.18749,-0.0191169,-0.0083616,-0.0033191,-0.0018386
0.198896,-0.02287,-0.0100614,-0.0040888,-0.0021722
0.211563,-0.0275336,-0.0121983,-0.0051449,-0.0026952
0.217325,-0.0297758,-0.0132735,-0.0056785,-0.0029948
0.223664,-0.0323767,-0.0145554,-0.0062874,-0.0033619
0.225873,-0.0333258,-0.0150281,-0.0065021,-0.0034978
0.22726,-0.0339311,-0.0153317,-0.0066368,-0.0035849
0.234917,-0.0373543,-0.0170994,-0.0073807,-0.0040867
0.240262,-0.0397309,-0.0184083,-0.0079064,-0.0044531
0.242688,-0.0408002,-0.0190135,-0.0081487,-0.0046229
0.260156,-0.0487231,-0.0234081,-0.0100297,-0.0058964
0.263649,-0.0503189,-0.0243006,-0.0104484,-0.0061604
0.274524,-0.0552953,-0.0272646,-0.0118687,-0.0070021
0.280612,-0.0580845,-0.0290157,-0.0127278,-0.0074888
0.297057,-0.0656246,-0.0339013,-0.015181,-0.0089434
0.297489,-0.0658231,-0.0340342,-0.0152466,-0.0089869
0.306285,-0.0698588,-0.0368434,-0.016583,-0.0099103
0.310291,-0.0716977,-0.0382063,-0.0171962,-0.0103306
0.328224,-0.079931,-0.0439319,-0.0200448,-0.012182
0.339289,-0.0850129,-0.0471786,-0.0219341,-0.0133184
0.355855,-0.0926229,-0.0519079,-0.0247085,-0.0150105
0.367217,-0.0978439,-0.0551041,-0.0263818,-0.0160987
0.380671,-0.1040267,-0.0588586,-0.0282063,-0.0171828
0.388943,-0.1078286,-0.0611552,-0.0293222,-0.017713
0.396183,-0.1111564,-0.0631595,-0.0301794,-0.018083
0.408983,-0.1170402,-0.0666922,-0.0313423,-0.0183857
0.415369,-0.1199758,-0.0684503,-0.0317489,-0.0183122
0.426096,-0.1249074,-0.0713981,-0.0319283,-0.0178418
0.427904,-0.1257389,-0.0718946,-0.0320498,-0.017713
0.43513,-0.1290611,-0.0738762,-0.0319283,-0.016991
0.442882,-0.1326256,-0.0759997,-0.0314276,-0.0158744
0.460837,-0.1408815,-0.0809087,-0.0300448,-0.0125816
0.464372,-0.1425071,-0.081874,-0.0297376,-0.0117937
0.472706,-0.1463396,-0.0841481,-0.0286099,-0.0097778
0.491531,-0.1549971,-0.0892778,-0.0260657,-0.004843
0.505774,-0.1615475,-0.0931532,-0.0241704,-0.001197
0.509072,-0.163064,-0.0940498,-0.0237313,-0.0004036
0.52584,-0.1707767,-0.0986063,-0.0215695,0.0033913
0.531981,-0.1736011,-0.1002735,-0.020906,0.0046637
0.542228,-0.1783146,-0.1030545,-0.0199552,0.0066522
0.562516,-0.1876468,-0.1085557,-0.0183093,0.0101345
0.565394,-0.1889706,-0.1093356,-0.0181166,0.0105707
0.583468,-0.197285,-0.1142313,-0.0174439,0.0129696
0.589083,-0.199868,-0.1157514,-0.0172924,0.0136323
0.608036,-0.208587,-0.12088,-0.0167713,0.0156841
0.614514,-0.2115671,-0.122632,-0.0166504,0.016278
0.624976,-0.2163805,-0.125461,-0.0166816,0.0171397
0.649825,-0.2278127,-0.132176,-0.0170679,0.0188341
0.659979,-0.2324845,-0.1349185,-0.0173543,0.0193642
0.682586,-0.2428857,-0.1410216,-0.018318,0.0201794
0.702594,-0.2520915,-0.1464203,-0.0194619,0.0206513
0.715341,-0.2579569,-0.1498586,-0.0203018,0.020852
0.741316,-0.2699086,-0.1568617,-0.0222263,0.0208969
0.742661,-0.2705276,-0.1572243,-0.0223318,0.0208934
0.774064,-0.2849778,-0.1656863,-0.0249568,0.0207623
0.781595,-0.2884432,-0.1677148,-0.0256502,0.0206699
0.807655,-0.300435,-0.1747326,-0.0282794,0.02
0.818267,-0.3053185,-0.1775895,-0.029417,0.0196535
0.854654,-0.3220631,-0.1873822,-0.0335426,0.0183473
0.861564,-0.3252429,-0.1892413,-0.0343948,0.0180717
0.894018,-0.3401784,-0.197971,-0.0385882,0.0164574
0.895549,-0.3408828,-0.1983827,-0.0387892,0.0163681
0.921673,-0.3529053,-0.2054071,-0.04219,0.0147982
0.958074,-0.3696579,-0.2151917,-0.0464867,0.0124664
0.984033,-0.3816051,-0.2221673,-0.048215,0.0106278
0.997012,-0.3875782,-0.2256542,-0.0318234,0.0095516
