# x, TixTiz=0.6_PBKi20, TixTiz=0.4_PBKi20, TixTiz=0.2_PBKi20
0.20617, -0.0014571, -0.0007881, 0.0006138
0.22407, -0.0006184, 0.0001598, 0.0021141
0.2366, -0.0002074, 0.0006715, 0.0040747
0.23686, -0.0001993, 0.000682, 0.0041324
0.25091, 0.000213, 0.0012589, 0.0077914
0.26011, 0.0004711, 0.0017004, 0.0116785
0.26295, 0.0005498, 0.0018583, 0.0130701
0.26525, 0.0006138, 0.0019981, 0.0141976
0.27187, 0.0007974, 0.0024609, 0.0174582
0.28187, 0.0010794, 0.0033246, 0.0226479
0.28285, 0.0011075, 0.003416, 0.0231696
0.29492, 0.0014662, 0.0046191, 0.0295612
0.29747, 0.0015461, 0.0048931, 0.0308625
0.29767, 0.0015523, 0.0049143, 0.0309609
0.31231, 0.0020456, 0.0066491, 0.0376693
0.31453, 0.0021256, 0.006943, 0.0385818
0.32024, 0.0023357, 0.0077253, 0.0408431
0.32509, 0.0025186, 0.0083881, 0.0427068
0.33421, 0.0028701, 0.0095787, 0.0461345
0.33762, 0.0030025, 0.0100418, 0.0473757
0.34009, 0.0030984, 0.0103956, 0.0481122
0.34505, 0.0032905, 0.0111429, 0.0496082
0.34964, 0.0034663, 0.011849, 0.0509901
0.35236, 0.0035697, 0.0122624, 0.0517948
0.36054, 0.0038751, 0.0134668, 0.0538236
0.36115, 0.0038973, 0.0135539, 0.0539629
0.37089, 0.0042452, 0.0149035, 0.0562483
0.37393, 0.0043493, 0.0152929, 0.0569681
0.37613, 0.0044229, 0.0155632, 0.0574892
0.38559, 0.0047167, 0.0167042, 0.0594668
0.38774, 0.0047775, 0.0169808, 0.0598503
0.39621, 0.0049954, 0.0181546, 0.0612929
0.40129, 0.0051096, 0.018805, 0.0621008
0.40707, 0.0052265, 0.0194169, 0.0629619
0.41689, 0.0053963, 0.0203224, 0.0642839
0.42486, 0.0055068, 0.0210685, 0.0652495
0.43428, 0.0055993, 0.021942, 0.0662712
0.43443, 0.0056004, 0.0219557, 0.0662864
0.45197, 0.0056432, 0.0233263, 0.0676858
0.45244, 0.0056424, 0.0233571, 0.0677157
0.45438, 0.0056379, 0.0234814, 0.0678379
0.47469, 0.0055013, 0.0245676, 0.0689924
0.47663, 0.0054782, 0.0246566, 0.0690825
0.48292, 0.0053875, 0.0249268, 0.0693409
0.50129, 0.004958, 0.0255053, 0.069838
0.50195, 0.0049385, 0.0255195, 0.0698497
0.51004, 0.0046885, 0.0256596, 0.0699599
0.5306, 0.0039963, 0.0258108, 0.0700031
0.53173, 0.0039559, 0.0258122, 0.0699966
0.53638, 0.0037849, 0.0258099, 0.0699613
0.55808, 0.0028777, 0.0256246, 0.0696365
0.5612, 0.0027278, 0.0255784, 0.069568
0.56155, 0.0027104, 0.0255729, 0.0695598
0.58448, 0.0014833, 0.0251058, 0.0688633
0.58637, 0.0013772, 0.0250549, 0.0687926
0.58673, 0.0013571, 0.0250449, 0.0687791
0.60111, 0.0005456, 0.0245781, 0.0681618
0.61093, -9.2e-06, 0.0242052, 0.0676674
0.61256, -0.0001014, 0.0241414, 0.0675819
0.63635, -0.0014318, 0.0231696, 0.0662755
0.65416, -0.0024203, 0.0223412, 0.0652123
0.6627, -0.0028933, 0.0219079, 0.0646594
0.68394, -0.0040669, 0.0206975, 0.0631527
0.69433, -0.0046404, 0.020093, 0.0623822
0.70594, -0.0052808, 0.0194017, 0.06152
0.72538, -0.0063524, 0.0181401, 0.060055
0.7524, -0.0078403, 0.0164205, 0.0579324
0.76708, -0.0086481, 0.0154464, 0.056726
0.82404, -0.0117802, 0.0115044, 0.0518459
0.82797, -0.0119963, 0.0112353, 0.0515049
0.86839, -0.0142174, 0.0085927, 0.0480103
0.89516, -0.015688, 0.0068086, 0.0457254
0.9106, -0.0165359, 0.0057626, 0.0444273
0.93209, -0.017716, 0.0043645, 0.042641
0.9494, -0.0186663, 0.0033074, 0.0412074
0.97098, -0.0198508, 0.0019947, 0.0394072
0.98573, -0.0206606, 0.0010956, 0.0382068
0.99221, -0.0210164, 0.000699, 0.037688
1.04304, -0.0238057, -0.0023945, 0.0336888
1.08244, -0.0259676, -0.0047848, 0.0307734
1.14204, -0.0292378, -0.0083987, 0.0266476
1.18349, -0.0315112, -0.0109105, 0.0239027
1.24745, -0.0350189, -0.0147861, 0.0199985
1.29375, -0.0375582, -0.0175916, 0.0174752
1.36282, -0.0413456, -0.0217761, 0.0140654
1.43496, -0.0453008, -0.0261462, 0.0109795
1.51247, -0.0495501, -0.0308414, 0.0081324
1.59203, -0.053911, -0.0356602, 0.0057114
1.67363, -0.0583838, -0.0406027, 0.0036826
1.72888, -0.0614121, -0.0439492, 0.0025232
1.78465, -0.0644683, -0.0473266, 0.0015515
